
graph nodes 88508, edges 196439

# of connected component sizes 6
size 1, number of components 2701
size 2, number of components 2700
size 3, number of components 220
size 4, number of components 40
size 5, number of components 8
size 79547, number of components 1

max wcc nodes 79547, edges 190244

# of different in-degrees 269
in-degree 0, number of nodes 53401
in-degree 1, number of nodes 21874
in-degree 2, number of nodes 4695
in-degree 3, number of nodes 2094
in-degree 4, number of nodes 1210
in-degree 5, number of nodes 825
in-degree 6, number of nodes 598
in-degree 7, number of nodes 395
in-degree 8, number of nodes 343
in-degree 9, number of nodes 266
in-degree 10, number of nodes 229
in-degree 11, number of nodes 211
in-degree 12, number of nodes 164
in-degree 13, number of nodes 148
in-degree 14, number of nodes 141
in-degree 15, number of nodes 112
in-degree 16, number of nodes 115
in-degree 17, number of nodes 84
in-degree 18, number of nodes 86
in-degree 19, number of nodes 71
in-degree 20, number of nodes 69
in-degree 21, number of nodes 73
in-degree 22, number of nodes 57
in-degree 23, number of nodes 54
in-degree 24, number of nodes 49
in-degree 25, number of nodes 56
in-degree 26, number of nodes 44
in-degree 27, number of nodes 34
in-degree 28, number of nodes 38
in-degree 29, number of nodes 27
in-degree 30, number of nodes 25
in-degree 31, number of nodes 30
in-degree 32, number of nodes 27
in-degree 33, number of nodes 28
in-degree 34, number of nodes 27
in-degree 35, number of nodes 24
in-degree 36, number of nodes 29
in-degree 37, number of nodes 19
in-degree 38, number of nodes 21
in-degree 39, number of nodes 15
in-degree 40, number of nodes 20
in-degree 41, number of nodes 19
in-degree 42, number of nodes 13
in-degree 43, number of nodes 24
in-degree 44, number of nodes 14
in-degree 45, number of nodes 18
in-degree 46, number of nodes 13
in-degree 47, number of nodes 16
in-degree 48, number of nodes 17
in-degree 49, number of nodes 17
in-degree 50, number of nodes 11
in-degree 51, number of nodes 5
in-degree 52, number of nodes 11
in-degree 53, number of nodes 7
in-degree 54, number of nodes 11
in-degree 55, number of nodes 10
in-degree 56, number of nodes 13
in-degree 57, number of nodes 8
in-degree 58, number of nodes 9
in-degree 59, number of nodes 10
in-degree 60, number of nodes 4
in-degree 61, number of nodes 5
in-degree 62, number of nodes 7
in-degree 63, number of nodes 3
in-degree 64, number of nodes 6
in-degree 65, number of nodes 3
in-degree 66, number of nodes 4
in-degree 67, number of nodes 13
in-degree 68, number of nodes 6
in-degree 69, number of nodes 3
in-degree 70, number of nodes 9
in-degree 71, number of nodes 5
in-degree 72, number of nodes 7
in-degree 73, number of nodes 11
in-degree 74, number of nodes 4
in-degree 75, number of nodes 2
in-degree 76, number of nodes 8
in-degree 77, number of nodes 2
in-degree 78, number of nodes 8
in-degree 79, number of nodes 9
in-degree 80, number of nodes 4
in-degree 81, number of nodes 2
in-degree 82, number of nodes 4
in-degree 83, number of nodes 1
in-degree 84, number of nodes 5
in-degree 85, number of nodes 5
in-degree 86, number of nodes 4
in-degree 87, number of nodes 3
in-degree 88, number of nodes 4
in-degree 89, number of nodes 2
in-degree 90, number of nodes 1
in-degree 91, number of nodes 3
in-degree 92, number of nodes 2
in-degree 93, number of nodes 3
in-degree 94, number of nodes 2
in-degree 95, number of nodes 3
in-degree 96, number of nodes 2
in-degree 97, number of nodes 3
in-degree 98, number of nodes 1
in-degree 99, number of nodes 2
in-degree 100, number of nodes 3
in-degree 101, number of nodes 2
in-degree 102, number of nodes 5
in-degree 103, number of nodes 4
in-degree 104, number of nodes 1
in-degree 105, number of nodes 3
in-degree 106, number of nodes 5
in-degree 107, number of nodes 4
in-degree 108, number of nodes 2
in-degree 109, number of nodes 2
in-degree 110, number of nodes 1
in-degree 111, number of nodes 3
in-degree 112, number of nodes 1
in-degree 113, number of nodes 3
in-degree 114, number of nodes 1
in-degree 115, number of nodes 5
in-degree 116, number of nodes 3
in-degree 117, number of nodes 2
in-degree 118, number of nodes 2
in-degree 119, number of nodes 4
in-degree 120, number of nodes 2
in-degree 122, number of nodes 2
in-degree 123, number of nodes 2
in-degree 124, number of nodes 1
in-degree 126, number of nodes 1
in-degree 128, number of nodes 4
in-degree 130, number of nodes 3
in-degree 131, number of nodes 2
in-degree 132, number of nodes 4
in-degree 133, number of nodes 3
in-degree 134, number of nodes 2
in-degree 136, number of nodes 2
in-degree 137, number of nodes 2
in-degree 140, number of nodes 1
in-degree 141, number of nodes 4
in-degree 143, number of nodes 3
